OBJECTID,landslide_trigger,event_date,latitude,longitude,landslide_size
5689979,continuous_rain,2017-05-24 00:00:00,9.30978672,123.21091118,medium
5689980,rain,2017-05-28 00:00:00,9.94928114,118.8014459,medium
5689981,rain,2017-06-09 12:00:00,53.98572214,-119.13653585,small
5689983,continuous_rain,2017-06-03 20:00:00,23.86469956,91.8949662,medium
5689984,rain,2017-05-23 00:00:00,27.63630585,110.73188853,medium
5689985,rain,2017-06-06 00:00:00,30.33597362,79.31958144000001,small
5689988,rain,2016-08-16 00:00:00,29.350849,79.451264,medium
5689989,downpour,2017-06-30 00:00:00,26.74386788,103.0563058,small
5689990,rain,2017-06-11 00:00:00,14.42827957,74.41606625,medium
5689991,rain,2017-06-12 00:00:00,13.87803507,74.6246332,small
5689994,rain,2017-06-05 20:00:00,26.9653186,88.2667225,medium
5689996,rain,2017-06-29 00:00:00,41.25565464,72.45209341,medium
5689997,rain,2017-06-21 22:00:00,33.01739981,74.93828040999999,small
5689998,rain,2017-06-12 11:00:00,22.59420297,92.16404889,medium
5689999,downpour,2017-06-18 07:00:00,44.51447151,-80.35294788,small
5690002,rain,2017-05-20 22:00:00,35.86431353,-121.43049941,very_large
5690003,downpour,2017-06-13 00:00:00,22.65242372,92.15898865,large
5690004,rain,2016-08-16 00:00:00,42.683128,78.301945,large
5690005,downpour,2016-08-09 00:00:00,31.70779,76.932771,small
5690006,rain,2017-05-19 00:00:00,48.51199102,-118.145399,small
5690007,rain,2017-06-21 00:00:00,32.94818322,75.12206351,small
5690008,rain,2017-01-03 00:00:00,20.66353189,-156.04245916,small
5690009,rain,2017-05-19 00:00:00,43.51364004,-108.18527663,medium
5690010,rain,2017-06-24 06:00:00,36.29586263,-81.743517,small
5690012,downpour,2017-06-28 02:00:00,8.82861988,105.10710756,small
5690014,downpour,2017-06-28 02:00:00,8.77470756,105.05092536,medium
5690016,continuous_rain,2017-05-23 13:00:00,37.46259713,-82.65673523,small
5690017,rain,2017-06-07 01:00:00,30.94222039,76.80054202,medium
5690020,rain,2017-05-24 00:00:00,16.366260959999998,120.63126409,small
5690022,downpour,2017-06-13 00:00:00,22.44394492,91.97239273,large
5690024,continuous_rain,2017-06-27 01:00:00,28.28120123,83.86441477000001,medium
5690025,rain,2017-06-12 09:00:00,12.89674168,74.85970453,small
5690030,rain,2017-05-25 00:00:00,3.01313547,101.77077236,small
